NBAName,BBRefID,,,,,,,,,,
AJ Hammons,hammoaj01,,,,,,,,,,
AJ Price,priceaj01,,,,,,,,,,
Aaron Brooks,brookaa01,,,,,,,,,,
Aaron Gordon,gordoaa01,,,,,,,,,,
Aaron Gray,grayaa01,,,,,,,,,,
Aaron Harrison,harriaa01,,,,,,,,,,
Aaron Holiday,holidaa01,,,,,,,,,,
Aaron Jackson,jacksaa01,,,,,,,,,,
Abdel Nader,naderab01,,,,,,,,,,
Adam Morrison,morriad01,,,,,,,,,,
Adonis Thomas,thomaad01,,,,,,,,,,
Adreian Payne,paynead01,,,,,,,,,,
Al-Farouq Aminu,aminual01,,,,,,,,,,
Al Harrington,harrial01,,,,,,,,,,
Al Horford,horfoal01,,,,,,,,,,
Al Jefferson,jeffeal01,,,,,,,,,,
Alan Anderson,anderal01,,,,,,,,,,
Alan Williams,willial03,,,,,,,,,,
Alec Burks,burksal01,,,,,,,,,,
Alec Peters,peteral01,,,,,,,,,,
Alex Acker,ackeral01,,,,,,,,,,
Alex Caruso,carusal01,,,,,,,,,,
Alex Kirk,kirkal01,,,,,,,,,,
Alex Len,lenal01,,,,,,,,,,
Alex Poythress,poythal01,,,,,,,,,,
Alex Stepheson,stephal01,,,,,,,,,,
Alexey Shved,shvedal01,,,,,,,,,,
Alfonzo McKinnie,mckinal01,,,,,,,,,,
Alize Johnson,johnsal02,,,,,,,,,,
Allan Houston,houstal01,,,,,,,,,,
Allen Crabbe,crabbal01,,,,,,,,,,
Allen Iverson,iversal01,,,,,,,,,,
Allonzo Trier,trieral01,,,,,,,,,,
Alonzo Gee,geeal01,,,,,,,,,,
Alonzo Mourning,mournal01,,,,,,,,,,
Amar'e Stoudemire,stoudam01,,,,,,,,,,
Amile Jefferson,jeffeam01,,,,,,,,,,
Amir Johnson,johnsam01,,,,,,,,,,
Andray Blatche,blatcan01,,,,,,,,,,
Andre Dawkins,dawkian01,,,,,,,,,,
Andre Drummond,drumman01,,,,,,,,,,
Andre Iguodala,iguodan01,,,,,,,,,,
Andre Ingram,ingraan01,,,,,,,,,,
Andre Miller,millean02,,,,,,,,,,
Andre Roberson,roberan03,,,,,,,,,,
Andrea Bargnani,bargnan01,,,,,,,,,,
Andrei Kirilenko,kirilan01,,,,,,,,,,
Andrew Bogut,bogutan01,,,,,,,,,,
Andrew Bynum,bynuman01,,,,,,,,,,
Andrew Goudelock,goudean01,,,,,,,,,,
Andrew Harrison,harrian01,,,,,,,,,,
Andrew Nicholson,nichoan01,,,,,,,,,,
Andrew White III,whitean01,,,,,,,,,,
Andrew Wiggins,wiggian01,,,,,,,,,,
Anfernee Hardaway,hardaan01,,,,,,,,,,
Anfernee Simons,simonan01,,,,,,,,,,
Antawn Jamison,jamisan01,,,,,,,,,,
Anthony Bennett,bennean01,,,,,,,,,,
Anthony Brown,brownan02,,,,,,,,,,
Anthony Davis,davisan02,,,,,,,,,,
Anthony Morrow,morroan01,,,,,,,,,,
Anthony Parker,parkean01,,,,,,,,,,
Anthony Randolph,randoan01,,,,,,,,,,
Anthony Tolliver,tollian01,,,,,,,,,,
Antoine Walker,walkean02,,,,,,,,,,
Antonio Blakeney,blakean01,,,,,,,,,,
Antonio McDyess,mcdyean01,,,,,,,,,,
Antonius Cleveland,clevean01,,,,,,,,,,
Archie Goodwin,goodwar01,,,,,,,,,,
Arinze Onuaku,onuakar01,,,,,,,,,,
Armon Johnson,johnsar02,,,,,,,,,,
Arnett Moultrie,moultar01,,,,,,,,,,
Aron Baynes,baynear01,,,,,,,,,,
Arron Afflalo,afflaar01,,,,,,,,,,
Austin Daye,dayeau01,,,,,,,,,,
Austin Rivers,riverau01,,,,,,,,,,
Avery Bradley,bradlav01,,,,,,,,,,
Axel Toupane,toupaax01,,,,,,,,,,
BJ Johnson,johnsbj01,,,,,,,,,,
Baron Davis,davisba01,,,,,,,,,,
Ben Bentil,bentibe01,,,,,,,,,,
Ben Gordon,gordobe01,,,,,,,,,,
Ben Hansbrough,hansbbe01,,,,,,,,,,
Ben McLemore,mclembe01,,,,,,,,,,
Ben Moore,moorebe01,,,,,,,,,,
Ben Simmons,simmobe01,,,,,,,,,,
Beno Udrih,udrihbe01,,,,,,,,,,
Bernard James,jamesbe01,,,,,,,,,,
Billy Garrett,garrebi01,,,,,,,,,,
Bismack Biyombo,biyombi01,,,,,,,,,,
Blake Ahearn,ahearbl01,,,,,,,,,,
Blake Griffin,griffbl01,,,,,,,,,,
Boban Marjanovic,marjabo01,,,,,,,,,,
Bobby Brown,brownbo02,,,,,,,,,,
Bobby Portis,portibo01,,,,,,,,,,
Bogdan Bogdanovic,bogdabo01,,,,,,,,,,
Bojan Bogdanovic,bogdabo02,,,,,,,,,,
Bonzie Colson,colsobo01,,,,,,,,,,
Boris Diaw,diawbo01,,,,,,,,,,
Brad Wanamaker,wanambr01,,,,,,,,,,
Bradley Beal,bealbr01,,,,,,,,,,
Brandan Wright,wrighbr03,,,,,,,,,,
Brandon Bass,bassbr01,,,,,,,,,,
Brandon Davies,daviebr01,,,,,,,,,,
Brandon Goodwin,goodwbr01,,,,,,,,,,
Brandon Ingram,ingrabr01,,,,,,,,,,
Brandon Jennings,jennibr01,,,,,,,,,,
Brandon Knight,knighbr03,,,,,,,,,,
Brandon Paul,paulbr01,,,,,,,,,,
Brandon Roy,roybr01,,,,,,,,,,
Brandon Rush,rushbr01,,,,,,,,,,
Brandon Sampson,sampsbr01,,,,,,,,,,
Brendan Haywood,haywobr01,,,,,,,,,,
Brent Barry,barrybr01,,,,,,,,,,
Brian Cook,cookbr01,,,,,,,,,,
Brian Roberts,roberbr01,,,,,,,,,,
Brian Scalabrine,scalabr01,,,,,,,,,,
Briante Weber,weberbr01,,,,,,,,,,
Brice Johnson,johnsbr02,,,,,,,,,,
Brook Lopez,lopezbr01,,,,,,,,,,
Bruce Brown,brownbr01,,,,,,,,,,
Bruno Caboclo,cabocbr01,,,,,,,,,,
Bryce Cotton,cottobr01,,,,,,,,,,
Bryce Dejean-Jones,dejeabr01,,,,,,,,,,
Bryn Forbes,forbebr01,,,,,,,,,,
CJ Miles,milescj01,,,,,,,,,,
C.J. Watson,watsocj01,,,,,,,,,,
CJ Wilcox,wilcocj01,,,,,,,,,,
C.J. Williams,willicj01,,,,,,,,,,
Caleb Swanigan,swanica01,,,,,,,,,,
Cameron Bairstow,bairsca01,,,,,,,,,,
Cameron Payne,payneca01,,,,,,,,,,
Caris LeVert,leverca01,,,,,,,,,,
