Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-19,28-222,LAL,,GSW,L (-7),1,38:55,15,26,.577,1,5,.200,2,7,.286,2,9,11,2,1,2,0,0,33,26.7,-2
2,2,2021-10-22,28-225,LAL,,PHO,L (-10),1,38:09,6,18,.333,0,1,.000,10,11,.909,5,9,14,3,1,2,2,3,22,18.9,-6
3,3,2021-10-24,28-227,LAL,,MEM,W (+3),1,33:42,8,15,.533,1,3,.333,5,7,.714,3,5,8,2,0,4,3,1,22,18.3,-5
4,4,2021-10-26,28-229,LAL,@,SAS,W (+4),1,42:23,15,31,.484,0,4,.000,5,6,.833,7,10,17,4,0,4,2,2,35,29.6,+3
5,5,2021-10-27,28-230,LAL,@,OKC,L (-8),1,36:34,12,22,.545,0,1,.000,6,7,.857,4,4,8,2,1,0,2,1,30,23.0,-7
6,6,2021-10-29,28-232,LAL,,CLE,W (+12),1,31:03,7,14,.500,1,2,.500,0,0,,2,7,9,3,1,3,2,3,15,13.5,+11
7,7,2021-10-31,28-234,LAL,,HOU,W (+10),1,32:35,7,17,.412,0,1,.000,2,2,1.000,6,7,13,2,1,1,3,3,16,12.1,+6
8,8,2021-11-02,28-236,LAL,,HOU,W (+2),1,32:02,11,18,.611,0,3,.000,5,8,.625,1,8,9,3,3,3,4,2,27,23.1,-1
9,9,2021-11-04,28-238,LAL,,OKC,L (-3),1,38:07,11,20,.550,0,1,.000,7,9,.778,6,12,18,5,1,2,3,4,29,27.7,-14
10,10,2021-11-06,28-240,LAL,@,POR,L (-15),1,7:09,1,5,.200,0,0,,0,0,,3,0,3,0,0,0,0,1,2,0.6,-11
11,11,2021-11-08,28-242,LAL,,CHO,W (+3),1,43:35,13,25,.520,0,3,.000,6,8,.750,2,10,12,4,3,5,4,4,32,27.0,-1
12,12,2021-11-10,28-244,LAL,,MIA,W (+3),1,44:32,10,23,.435,1,2,.500,3,4,.750,5,8,13,4,1,1,4,3,24,16.7,-4
13,13,2021-11-12,28-246,LAL,,MIN,L (-24),1,30:58,7,13,.538,0,1,.000,8,10,.800,2,6,8,2,3,3,2,4,22,21.0,-16
