Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,24-355,PHO,,DEN,L (-12),1,29:57,3,15,.200,2,7,.286,4,4,1.000,1,3,4,4,1,0,3,3,12,3.9,-24
2,2,2021-10-22,24-357,PHO,@,LAL,W (+10),1,33:34,9,19,.474,2,6,.333,2,2,1.000,1,4,5,4,0,0,4,3,22,11.8,+8
3,3,2021-10-23,24-358,PHO,@,POR,L (-29),1,28:11,9,19,.474,2,5,.400,1,2,.500,1,3,4,4,2,0,0,1,21,16.9,-15
4,4,2021-10-27,24-362,PHO,,SAC,L (-3),1,36:32,12,28,.429,2,6,.333,5,6,.833,3,3,6,8,1,0,0,4,31,23.8,+4
5,5,2021-10-30,25-000,PHO,,CLE,W (+9),1,35:19,9,20,.450,0,4,.000,9,10,.900,1,3,4,9,0,0,4,1,27,19.7,+8
6,6,2021-11-02,25-003,PHO,,NOP,W (+12),1,33:45,7,20,.350,2,8,.250,2,2,1.000,1,7,8,3,1,1,6,2,18,6.6,+8
7,7,2021-11-04,25-005,PHO,,HOU,W (+12),1,34:08,8,18,.444,4,8,.500,7,8,.875,1,8,9,5,1,1,2,3,27,22.3,+10
8,8,2021-11-06,25-007,PHO,,ATL,W (+4),1,34:06,14,21,.667,5,9,.556,5,7,.714,1,5,6,4,2,1,4,4,38,30.2,+3
9,9,2021-11-08,25-009,PHO,@,SAC,W (+5),1,32:22,8,17,.471,2,5,.400,0,2,.000,1,8,9,6,2,0,5,4,18,11.2,+22
10,10,2021-11-10,25-011,PHO,,POR,W (+10),1,37:26,5,15,.333,2,6,.333,0,0,,0,8,8,6,1,0,4,2,12,6.3,+9
11,11,2021-11-12,25-013,PHO,@,MEM,W (+25),1,25:36,7,17,.412,1,5,.200,2,2,1.000,1,4,5,7,0,0,3,2,17,10.9,+31
12,12,2021-11-14,25-015,PHO,@,HOU,W (+26),1,31:33,9,23,.391,3,7,.429,5,5,1.000,0,5,5,6,2,0,0,0,26,21.2,+12
13,13,2021-11-15,25-016,PHO,@,MIN,W (+3),1,34:26,7,16,.438,2,4,.500,13,15,.867,2,3,5,5,2,0,1,5,29,24.6,+8
