Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,31-097,POR,,SAC,L (-3),1,40:15,8,24,.333,0,9,.000,4,5,.800,0,6,6,11,1,0,1,3,20,14.3,-2
2,2,2021-10-23,31-100,POR,,PHO,W (+29),1,24:29,6,11,.545,2,7,.286,5,5,1.000,0,1,1,8,0,0,2,1,19,17.2,+18
3,3,2021-10-25,31-102,POR,@,LAC,L (-30),1,27:50,4,15,.267,0,8,.000,4,4,1.000,1,2,3,3,0,0,4,2,12,1.7,-22
4,4,2021-10-27,31-104,POR,,MEM,W (+20),1,32:14,6,22,.273,4,11,.364,4,4,1.000,0,3,3,10,1,0,2,0,20,13.9,+16
5,5,2021-10-29,31-106,POR,,LAC,W (+19),1,34:09,9,17,.529,5,7,.714,2,2,1.000,1,3,4,6,1,0,6,3,25,16.3,+9
6,6,2021-10-31,31-108,POR,@,CHO,L (-12),1,37:48,5,20,.250,2,14,.143,2,2,1.000,0,4,4,12,0,0,2,3,14,8.4,-6
7,7,2021-11-01,31-109,POR,@,PHI,L (-10),1,35:55,7,20,.350,2,9,.222,4,5,.800,1,6,7,10,0,0,3,2,20,14.1,-14
8,8,2021-11-03,31-111,POR,@,CLE,L (-3),1,39:46,10,27,.370,3,12,.250,3,5,.600,0,3,3,8,2,0,1,2,26,17.0,+5
9,9,2021-11-05,31-113,POR,,IND,W (+4),1,37:56,2,13,.154,0,6,.000,0,0,,0,4,4,11,1,1,2,1,4,3.9,-4
10,10,2021-11-06,31-114,POR,,LAL,W (+15),1,30:48,9,19,.474,6,14,.429,1,2,.500,0,3,3,6,2,0,3,3,25,17.8,+29
11,11,2021-11-09,31-117,POR,@,LAC,L (-8),1,38:57,11,23,.478,4,13,.308,1,1,1.000,1,4,5,6,0,0,2,0,27,19.4,-5
12,12,2021-11-10,31-118,POR,@,PHO,L (-10),1,38:03,12,23,.522,1,4,.250,3,4,.750,0,7,7,7,0,0,2,0,28,21.3,-13
13,13,2021-11-12,31-120,POR,@,HOU,W (+12),1,38:09,6,16,.375,4,9,.444,4,5,.800,0,6,6,7,0,1,2,1,20,15.8,0
14,,2021-11-14,31-122,POR,@,DEN,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,14,2021-11-15,31-123,POR,,TOR,W (+5),1,40:04,10,21,.476,3,6,.500,1,1,1.000,2,2,4,8,2,1,3,0,24,20.6,+7
16,15,2021-11-17,31-125,POR,,CHI,W (+5),1,40:18,6,18,.333,3,9,.333,7,7,1.000,0,4,4,10,1,1,4,1,22,17.3,+15
17,16,2021-11-20,31-128,POR,,PHI,W (+7),1,37:01,10,21,.476,5,13,.385,14,14,1.000,0,0,0,7,0,3,4,1,39,30.9,+9
18,17,2021-11-23,31-131,POR,,DEN,W (+19),1,31:18,9,13,.692,5,8,.625,2,2,1.000,0,3,3,5,1,0,1,1,25,23.5,+13
19,18,2021-11-24,31-132,POR,@,SAC,L (-4),1,39:49,7,18,.389,3,12,.250,15,16,.938,2,4,6,10,0,0,2,3,32,28.2,-1
20,19,2021-11-26,31-134,POR,@,GSW,L (-15),1,38:00,5,15,.333,2,7,.286,4,4,1.000,0,0,0,6,1,0,4,1,16,8.3,-12
