Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,25-043,UTA,,OKC,W (+21),1,28:28,6,17,.353,3,10,.300,1,1,1.000,2,1,3,4,2,1,1,2,16,11.9,+20
2,2,2021-10-22,25-045,UTA,@,SAC,W (+9),1,37:16,9,25,.360,6,14,.429,3,4,.750,1,4,5,4,2,0,5,2,27,13.6,+18
3,3,2021-10-26,25-049,UTA,,DEN,W (+12),1,34:19,9,20,.450,1,9,.111,3,3,1.000,0,2,2,6,1,0,5,4,22,10.8,-4
4,4,2021-10-28,25-051,UTA,@,HOU,W (+31),1,23:31,5,12,.417,2,5,.400,3,3,1.000,0,3,3,6,2,0,1,1,15,14.3,+16
5,5,2021-10-30,25-053,UTA,@,CHI,L (-8),1,35:22,9,27,.333,2,11,.182,10,10,1.000,1,6,7,6,0,1,6,1,30,15.7,+13
6,6,2021-10-31,25-054,UTA,@,MIL,W (+12),1,32:37,10,18,.556,4,9,.444,4,5,.800,0,4,4,2,2,0,4,2,28,18.8,+11
7,7,2021-11-02,25-056,UTA,,SAC,W (+6),1,32:18,14,30,.467,5,12,.417,3,4,.750,5,3,8,6,1,0,3,4,36,25.2,+12
8,,2021-11-04,25-058,UTA,@,ATL,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8,2021-11-06,25-060,UTA,@,MIA,L (-3),1,36:43,14,28,.500,4,15,.267,5,6,.833,0,0,0,7,2,0,2,3,37,26.3,+12
10,9,2021-11-07,25-061,UTA,@,ORL,L (-7),1,32:41,8,24,.333,2,12,.167,3,3,1.000,3,4,7,7,0,0,3,5,21,10.6,-8
11,10,2021-11-09,25-063,UTA,,ATL,W (+12),1,32:24,11,20,.550,5,11,.455,0,0,,1,2,3,5,3,0,1,2,27,23.4,+15
12,11,2021-11-11,25-065,UTA,,IND,L (-11),1,32:49,11,20,.550,3,7,.429,1,1,1.000,0,5,5,4,3,0,0,3,26,22.5,-15
13,12,2021-11-13,25-067,UTA,,MIA,L (-6),1,37:07,8,19,.421,3,10,.300,3,5,.600,1,5,6,4,5,0,3,5,22,16.1,+5
