Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-19,26-317,MIL,,BRK,W (+23),1,30:57,12,25,.480,1,4,.250,7,9,.778,5,9,14,7,1,2,4,4,32,26.4,+25
2,2,2021-10-21,26-319,MIL,@,MIA,L (-42),1,22:48,4,11,.364,1,3,.333,6,10,.600,1,9,10,2,3,0,2,3,15,11.9,-25
3,3,2021-10-23,26-321,MIL,@,SAS,W (+10),1,30:24,7,15,.467,1,2,.500,6,8,.750,0,8,8,8,0,3,5,4,21,16.0,+19
4,4,2021-10-25,26-323,MIL,@,IND,W (+10),1,36:16,10,18,.556,0,2,.000,10,13,.769,1,9,10,9,1,2,2,2,30,29.5,+14
5,5,2021-10-27,26-325,MIL,,MIN,L (-5),1,34:53,15,23,.652,3,6,.500,7,9,.778,4,12,16,7,0,3,2,1,40,40.1,+9
6,6,2021-10-30,26-328,MIL,,SAS,L (-9),1,34:04,11,18,.611,0,3,.000,6,11,.545,0,13,13,3,0,0,7,5,28,14.8,-3
7,7,2021-10-31,26-329,MIL,,UTA,L (-12),1,34:55,10,20,.500,3,11,.273,2,2,1.000,2,5,7,6,2,2,2,3,25,22.3,-10
8,8,2021-11-02,26-331,MIL,@,DET,W (+28),1,26:48,9,16,.563,3,7,.429,7,7,1.000,0,8,8,9,0,4,3,2,28,28.1,+22
9,9,2021-11-05,26-334,MIL,,NYK,L (-15),1,30:30,7,17,.412,2,7,.286,9,11,.818,1,6,7,4,2,0,3,3,25,18.2,-5
10,10,2021-11-07,26-336,MIL,@,WAS,L (-7),1,39:11,12,26,.462,0,4,.000,5,12,.417,6,12,18,5,3,1,3,4,29,23.2,-6
11,11,2021-11-09,26-338,MIL,@,PHI,W (+9),1,36:13,12,26,.462,0,2,.000,7,13,.538,1,15,16,4,0,2,0,1,31,24.2,+13
12,12,2021-11-10,26-339,MIL,@,NYK,W (+12),1,37:40,5,15,.333,2,5,.400,3,4,.750,2,13,15,8,1,2,3,4,15,14.8,+21
13,,2021-11-12,26-341,MIL,@,BOS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,13,2021-11-14,26-343,MIL,@,ATL,L (-20),1,33:44,9,21,.429,1,5,.200,7,12,.583,1,4,5,6,1,1,3,5,26,15.7,-9
15,14,2021-11-17,26-346,MIL,,LAL,W (+7),1,36:17,18,23,.783,3,4,.750,8,11,.727,2,7,9,3,1,1,4,1,47,39.8,+1
16,15,2021-11-19,26-348,MIL,,OKC,W (+7),1,35:45,6,16,.375,0,4,.000,9,11,.818,0,19,19,7,2,4,5,5,21,19.8,+23
17,16,2021-11-20,26-349,MIL,,ORL,W (+9),1,30:22,8,16,.500,1,3,.333,15,23,.652,2,18,20,5,2,3,5,4,32,28.6,+15
18,17,2021-11-22,26-351,MIL,,ORL,W (+31),1,23:44,4,12,.333,0,4,.000,4,6,.667,2,6,8,9,1,2,1,3,12,14.1,+38
19,18,2021-11-24,26-353,MIL,,DET,W (+21),1,31:10,12,17,.706,1,4,.250,8,10,.800,2,5,7,5,2,2,1,2,33,33.1,+25
20,19,2021-11-26,26-355,MIL,@,DEN,W (+11),1,30:06,10,13,.769,1,1,1.000,3,9,.333,0,13,13,7,0,1,1,0,24,25.0,+18
21,20,2021-11-28,26-357,MIL,@,IND,W (+18),1,32:40,10,15,.667,0,2,.000,6,10,.600,4,9,13,3,0,1,5,1,26,20.8,+12
22,21,2021-12-01,26-360,MIL,,CHO,W (+2),1,37:41,15,24,.625,1,4,.250,9,13,.692,3,9,12,9,1,0,6,3,40,32.5,+4
23,,2021-12-02,26-361,MIL,@,TOR,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,,2021-12-04,26-363,MIL,,MIA,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,22,2021-12-06,27-000,MIL,,CLE,W (+8),1,27:21,9,19,.474,3,3,1.000,6,7,.857,3,9,12,2,0,1,4,5,27,17.8,+14
26,23,2021-12-08,27-002,MIL,@,MIA,L (-9),1,32:36,4,13,.308,0,2,.000,7,12,.583,1,5,6,4,1,1,3,3,15,8.0,-11
27,24,2021-12-10,27-004,MIL,@,HOU,W (+9),1,36:44,15,20,.750,1,3,.333,10,14,.714,6,11,17,5,3,2,5,5,41,39.8,+4
28,25,2021-12-12,27-006,MIL,@,NYK,W (+15),1,32:25,7,16,.438,0,2,.000,6,8,.750,3,7,10,11,1,1,3,4,20,19.8,+9
29,26,2021-12-13,27-007,MIL,@,BOS,L (-14),1,33:35,7,14,.500,0,3,.000,6,8,.750,1,7,8,3,1,0,4,2,20,13.3,-19
30,,2021-12-15,27-009,MIL,,IND,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2021-12-17,27-011,MIL,@,NOP,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2021-12-18,27-012,MIL,,CLE,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,2021-12-22,27-016,MIL,,HOU,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2021-12-23,27-017,MIL,@,DAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,27,2021-12-25,27-019,MIL,,BOS,W (+4),1,29:48,13,23,.565,0,2,.000,10,15,.667,3,9,12,5,0,2,2,4,36,29.2,-1
36,28,2021-12-28,27-022,MIL,@,ORL,W (+17),1,29:34,10,19,.526,1,4,.250,7,10,.700,0,6,6,6,0,1,2,5,28,20.2,+13
37,29,2021-12-30,27-024,MIL,@,ORL,W (+18),1,30:55,13,22,.591,1,4,.250,6,6,1.000,2,10,12,5,2,2,4,4,33,28.5,+17
38,30,2022-01-01,27-026,MIL,,NOP,W (+23),1,32:12,12,18,.667,2,4,.500,9,12,.750,1,15,16,10,2,0,4,4,35,34.6,+25
39,31,2022-01-03,27-028,MIL,,DET,L (-9),1,35:36,11,21,.524,0,4,.000,9,13,.692,1,9,10,7,1,0,3,2,31,24.6,-12
40,,2022-01-05,27-030,MIL,,TOR,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,32,2022-01-07,27-032,MIL,@,BRK,W (+12),1,26:47,11,17,.647,2,5,.400,7,10,.700,1,6,7,9,0,0,4,3,31,25.9,+16
42,33,2022-01-08,27-033,MIL,@,CHO,L (-8),1,36:44,11,20,.550,3,6,.500,18,20,.900,2,10,12,3,1,2,3,5,43,36.5,-13
43,34,2022-01-10,27-035,MIL,@,CHO,L (-4),1,35:00,10,18,.556,1,5,.200,5,8,.625,1,12,13,8,1,1,6,2,26,21.0,+6
44,35,2022-01-13,27-038,MIL,,GSW,W (+19),1,29:58,11,17,.647,0,2,.000,8,12,.667,2,10,12,11,0,3,5,2,30,29.3,+22
