Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,24-361,BOS,@,NYK,L (-4),1,45:58,16,30,.533,8,14,.571,6,8,.750,0,9,9,6,3,1,4,5,46,35.2,+16
2,2,2021-10-22,24-363,BOS,,TOR,L (-32),1,28:24,3,13,.231,0,7,.000,3,4,.750,0,4,4,0,0,0,5,2,9,-3.9,+3
3,,2021-10-24,25-000,BOS,@,HOU,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3,2021-10-25,25-001,BOS,@,CHO,W (+11),1,37:59,12,20,.600,3,7,.429,3,4,.750,3,6,9,3,3,1,3,3,30,25.9,+12
5,4,2021-10-27,25-003,BOS,,WAS,L (-9),1,37:21,5,16,.313,1,4,.250,2,2,1.000,0,4,4,1,0,0,3,3,13,1.5,-8
6,5,2021-10-30,25-006,BOS,@,WAS,L (-3),1,47:23,14,24,.583,0,5,.000,6,7,.857,0,6,6,2,1,1,3,3,34,23.1,-6
7,6,2021-11-01,25-008,BOS,,CHI,L (-14),1,33:35,10,18,.556,5,8,.625,3,4,.750,0,7,7,3,1,0,1,3,28,22.0,+1
8,7,2021-11-03,25-010,BOS,@,ORL,W (+13),1,31:48,10,17,.588,3,8,.375,5,7,.714,0,5,5,3,1,0,2,4,28,20.3,+16
9,8,2021-11-04,25-011,BOS,@,MIA,W (+17),1,29:17,5,14,.357,3,5,.600,4,5,.800,0,5,5,2,1,1,2,2,17,10.6,+12
10,,2021-11-06,25-013,BOS,@,DAL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2021-11-10,25-017,BOS,,TOR,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2021-11-12,25-019,BOS,,MIL,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2021-11-13,25-020,BOS,@,CLE,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2021-11-15,25-022,BOS,@,CLE,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
