Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-21,32-037,MIA,,MIL,W (+42),1,29:02,6,10,.600,0,0,,9,11,.818,1,3,4,6,1,0,1,3,21,20.2,+27
2,2,2021-10-23,32-039,MIA,@,IND,L (-11),1,40:17,7,22,.318,1,3,.333,4,5,.800,3,3,6,6,3,0,4,4,19,10.6,-5
3,3,2021-10-25,32-041,MIA,,ORL,W (+17),1,32:55,15,21,.714,0,0,,6,6,1.000,0,3,3,2,5,0,1,2,36,32.8,+8
4,4,2021-10-27,32-043,MIA,@,BRK,W (+13),1,37:11,6,18,.333,0,0,,5,6,.833,4,10,14,7,4,1,3,3,17,17.6,+12
5,5,2021-10-29,32-045,MIA,,CHO,W (+15),1,36:27,12,19,.632,1,3,.333,7,7,1.000,5,5,10,5,1,1,4,3,32,28.5,-1
6,6,2021-10-30,32-046,MIA,@,MEM,W (+26),1,30:03,8,12,.667,1,2,.500,10,11,.909,0,5,5,7,3,0,1,0,27,29.8,+22
7,7,2021-11-02,32-049,MIA,@,DAL,W (+15),1,33:08,4,11,.364,0,1,.000,15,17,.882,2,4,6,6,3,1,1,4,23,24.0,+14
8,8,2021-11-04,32-051,MIA,,BOS,L (-17),1,38:15,8,18,.444,0,4,.000,4,8,.500,3,1,4,2,1,0,2,3,20,10.6,-10
9,9,2021-11-06,32-053,MIA,,UTA,W (+3),1,35:58,11,15,.733,0,0,,5,6,.833,0,3,3,6,0,0,3,0,27,22.6,-12
10,10,2021-11-08,32-055,MIA,@,DEN,L (-17),1,37:44,10,18,.556,2,3,.667,9,11,.818,1,4,5,8,0,1,1,0,31,28.8,-5
11,11,2021-11-10,32-057,MIA,@,LAL,L (-3),1,12:00,1,3,.333,0,1,.000,5,5,1.000,0,0,0,1,2,0,0,0,7,8.0,-3
12,,2021-11-11,32-058,MIA,@,LAC,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2021-11-13,32-060,MIA,@,UTA,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2021-11-15,32-062,MIA,@,OKC,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,12,2021-11-17,32-064,MIA,,NOP,W (+15),1,36:34,10,18,.556,1,2,.500,10,12,.833,2,8,10,10,0,1,3,1,31,29.7,+9
16,13,2021-11-18,32-065,MIA,,WAS,W (+15),1,34:12,11,19,.579,0,1,.000,10,10,1.000,1,2,3,5,4,0,1,0,32,30.9,+11
17,14,2021-11-20,32-067,MIA,@,WAS,L (-3),1,38:28,11,19,.579,0,2,.000,7,9,.778,0,5,5,4,2,0,1,1,29,24.2,+1
18,15,2021-11-23,32-070,MIA,@,DET,W (+8),1,34:46,4,13,.308,0,1,.000,7,9,.778,4,5,9,5,1,0,3,2,15,11.7,-7
19,16,2021-11-24,32-071,MIA,@,MIN,L (-12),1,38:41,5,9,.556,0,3,.000,6,7,.857,0,8,8,5,1,0,3,1,16,14.8,-16
20,17,2021-11-27,32-074,MIA,@,CHI,W (+3),1,36:22,6,15,.400,0,4,.000,6,7,.857,1,3,4,5,5,0,1,2,18,17.8,0
21,,2021-11-29,32-076,MIA,,DEN,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2021-12-01,32-078,MIA,,CLE,L (-26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2021-12-03,32-080,MIA,@,IND,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
