Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,27-218,PHI,@,NOP,W (+20),1,25:42,8,17,.471,2,3,.667,4,6,.667,1,5,6,5,1,1,1,3,22,17.7,+4
2,2,2021-10-22,27-220,PHI,,BRK,L (-5),1,29:43,6,15,.400,2,5,.400,5,6,.833,2,6,8,4,2,4,3,4,19,16.7,-4
3,3,2021-10-24,27-222,PHI,@,OKC,W (+12),1,33:17,8,15,.533,2,5,.400,4,6,.667,1,8,9,6,1,3,0,2,22,23.5,+10
4,4,2021-10-26,27-224,PHI,@,NYK,L (-13),1,30:25,2,7,.286,0,2,.000,10,11,.909,1,5,6,3,1,1,5,1,14,10.1,-8
5,5,2021-10-28,27-226,PHI,,DET,W (+8),1,30:58,8,19,.421,1,4,.250,13,15,.867,5,13,18,3,1,0,4,2,30,24.8,+14
6,6,2021-10-30,27-228,PHI,,ATL,W (+28),1,29:43,5,13,.385,1,4,.250,8,9,.889,0,5,5,2,0,1,2,1,19,12.7,+21
7,,2021-11-01,27-230,PHI,,POR,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7,2021-11-03,27-232,PHI,,CHI,W (+5),1,34:05,6,18,.333,1,5,.200,5,9,.556,1,8,9,7,1,1,4,3,18,10.7,+10
9,8,2021-11-04,27-233,PHI,@,DET,W (+11),1,30:02,6,15,.400,0,0,,7,8,.875,4,5,9,3,1,0,2,3,19,14.7,-9
10,9,2021-11-06,27-235,PHI,@,CHI,W (+9),1,34:02,11,19,.579,4,5,.800,4,7,.571,1,15,16,3,0,2,6,1,30,22.2,+16
11,,2021-11-08,27-237,PHI,,NYK,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2021-11-09,27-238,PHI,,MIL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2021-11-11,27-240,PHI,,TOR,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2021-11-13,27-242,PHI,@,IND,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
