Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-19,32-054,BRK,@,MIL,L (-23),1,30:38,6,16,.375,4,8,.500,4,4,1.000,3,5,8,8,1,2,4,3,20,17.6,-20
2,2,2021-10-22,32-057,BRK,@,PHI,W (+5),1,38:25,7,17,.412,3,7,.429,3,4,.750,1,6,7,8,2,0,5,0,20,15.6,-1
3,3,2021-10-24,32-059,BRK,,CHO,L (-16),1,33:09,6,16,.375,2,8,.250,1,1,1.000,2,5,7,8,1,1,8,5,15,6.4,-15
4,4,2021-10-25,32-060,BRK,,WAS,W (+14),1,30:25,5,17,.294,1,8,.125,3,3,1.000,1,5,6,9,1,1,2,1,14,11.9,+6
5,5,2021-10-27,32-062,BRK,,MIA,L (-13),1,35:36,4,12,.333,3,8,.375,3,3,1.000,0,7,7,7,1,1,4,3,14,10.7,-12
6,6,2021-10-29,32-064,BRK,,IND,W (+7),1,35:02,5,11,.455,3,6,.500,16,19,.842,1,7,8,8,1,2,4,3,29,27.7,+17
7,7,2021-10-31,32-066,BRK,,DET,W (+26),1,29:22,6,9,.667,4,7,.571,2,3,.667,0,10,10,12,0,0,5,0,18,20.1,+19
8,8,2021-11-03,32-069,BRK,,ATL,W (+9),1,35:34,5,14,.357,5,11,.455,1,1,1.000,0,4,4,11,1,1,3,2,16,15.0,-9
9,9,2021-11-05,32-071,BRK,@,DET,W (+6),1,36:29,3,10,.300,3,5,.600,4,4,1.000,0,10,10,10,2,1,9,4,13,9.3,+15
10,10,2021-11-07,32-073,BRK,@,TOR,W (+13),1,38:34,10,20,.500,3,10,.300,5,6,.833,5,5,10,8,0,0,2,4,28,24.6,+11
11,11,2021-11-08,32-074,BRK,@,CHI,L (-23),1,34:02,4,11,.364,3,7,.429,3,3,1.000,0,8,8,5,1,1,4,2,14,10.7,-23
12,12,2021-11-10,32-076,BRK,@,ORL,W (+33),1,29:33,6,11,.545,1,4,.250,4,5,.800,1,10,11,11,2,0,6,1,17,18.3,+16
13,13,2021-11-12,32-078,BRK,@,NOP,W (+8),1,38:01,11,18,.611,6,10,.600,11,15,.733,0,5,5,12,1,1,6,3,39,33.6,+17
14,14,2021-11-14,32-080,BRK,@,OKC,W (+24),1,36:19,5,13,.385,1,8,.125,5,5,1.000,1,5,6,13,3,0,6,1,16,16.8,+19
15,15,2021-11-16,32-082,BRK,,GSW,L (-18),1,31:51,6,13,.462,2,6,.333,10,11,.909,0,4,4,4,0,0,5,3,24,14.7,-22
16,16,2021-11-17,32-083,BRK,,CLE,W (+10),1,36:57,6,12,.500,3,6,.500,12,12,1.000,0,10,10,7,2,1,6,1,27,25.2,+5
17,17,2021-11-19,32-085,BRK,,ORL,W (+2),1,41:01,7,25,.280,3,13,.231,19,20,.950,1,9,10,8,3,2,6,4,36,26.7,+10
18,18,2021-11-22,32-088,BRK,@,CLE,W (+5),1,38:19,5,10,.500,0,2,.000,4,4,1.000,1,5,6,14,3,0,5,2,14,18.2,-6
19,19,2021-11-24,32-090,BRK,@,BOS,W (+19),1,35:55,4,13,.308,4,9,.444,8,9,.889,1,6,7,11,2,0,3,4,20,19.7,+29
20,20,2021-11-27,32-093,BRK,,PHO,L (-6),1,39:50,4,15,.267,0,6,.000,4,4,1.000,2,11,13,14,1,2,7,3,12,11.8,-8
21,21,2021-11-30,32-096,BRK,,NYK,W (+2),1,39:47,11,20,.550,3,8,.375,9,10,.900,2,8,10,8,3,0,5,1,34,31.0,+6
22,22,2021-12-03,32-099,BRK,,MIN,W (+5),1,35:43,4,11,.364,0,5,.000,12,15,.800,0,7,7,9,2,0,6,4,20,15.5,+10
