Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,22-071,MEM,,CLE,W (+11),1,33:36,17,29,.586,1,4,.250,2,2,1.000,1,5,6,6,0,2,2,2,37,28.5,-6
2,2,2021-10-23,22-074,MEM,@,LAC,W (+6),1,34:33,10,19,.526,2,7,.286,6,8,.750,0,2,2,8,1,0,5,3,28,18.9,+12
3,3,2021-10-24,22-075,MEM,@,LAL,L (-3),1,37:45,13,21,.619,5,7,.714,9,11,.818,2,1,3,10,3,0,6,3,40,34.2,+9
4,4,2021-10-27,22-078,MEM,@,POR,L (-20),1,31:51,5,12,.417,3,6,.500,4,5,.800,2,7,9,10,1,0,9,2,17,11.9,-25
5,5,2021-10-28,22-079,MEM,@,GSW,W (+3),1,41:39,11,22,.500,2,8,.250,6,6,1.000,0,7,7,5,4,0,5,0,30,23.6,-4
6,6,2021-10-30,22-081,MEM,,MIA,L (-26),1,32:57,7,18,.389,1,4,.250,5,6,.833,1,3,4,7,2,0,3,2,20,14.5,-31
7,7,2021-11-01,22-083,MEM,,DEN,W (+9),1,35:02,12,22,.545,1,3,.333,1,2,.500,3,4,7,8,1,0,4,0,26,20.9,+2
8,8,2021-11-03,22-085,MEM,,DEN,W (+2),1,32:47,8,16,.500,0,2,.000,2,7,.286,0,6,6,6,3,0,3,0,18,14.0,+5
9,9,2021-11-05,22-087,MEM,@,WAS,L (-28),1,29:25,4,17,.235,0,2,.000,3,4,.750,2,4,6,4,0,0,1,0,11,4.7,-16
10,10,2021-11-08,22-090,MEM,,MIN,W (+7),1,41:21,10,24,.417,3,6,.500,10,12,.833,1,5,6,8,1,1,3,3,33,24.7,+4
11,11,2021-11-10,22-092,MEM,,CHO,L (-10),1,37:02,13,27,.481,1,6,.167,5,5,1.000,2,5,7,8,3,0,3,1,32,26.4,+6
