Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-19,33-020,BRK,@,MIL,L (-23),1,30:15,13,25,.520,3,7,.429,3,6,.500,0,11,11,4,0,2,1,2,32,24.2,-20
2,2,2021-10-22,33-023,BRK,@,PHI,W (+5),1,36:54,9,20,.450,1,6,.167,10,10,1.000,3,12,15,12,1,1,2,1,29,32.0,+11
3,3,2021-10-24,33-025,BRK,,CHO,L (-16),1,36:08,17,24,.708,2,6,.333,2,2,1.000,1,4,5,3,1,0,3,0,38,30.0,-10
4,4,2021-10-25,33-026,BRK,,WAS,W (+14),1,34:44,9,17,.529,1,2,.500,6,9,.667,0,8,8,4,2,0,1,1,25,21.3,+6
5,5,2021-10-27,33-028,BRK,,MIA,L (-13),1,37:14,9,18,.500,2,4,.500,5,6,.833,0,11,11,2,1,2,5,1,25,17.3,-14
6,6,2021-10-29,33-030,BRK,,IND,W (+7),1,37:22,7,10,.700,1,3,.333,7,8,.875,0,11,11,7,1,0,7,2,22,18.8,+10
7,7,2021-10-31,33-032,BRK,,DET,W (+26),1,27:20,10,13,.769,1,1,1.000,2,3,.667,0,1,1,5,0,1,3,3,23,17.8,+10
8,8,2021-11-03,33-035,BRK,,ATL,W (+9),1,35:55,13,20,.650,2,6,.333,4,6,.667,0,7,7,5,1,1,3,2,32,25.9,+15
9,9,2021-11-05,33-037,BRK,@,DET,W (+6),1,36:30,12,27,.444,2,6,.333,3,4,.750,0,10,10,5,0,1,3,0,29,18.7,+20
10,10,2021-11-07,33-039,BRK,@,TOR,W (+13),1,36:53,11,19,.579,3,6,.500,6,6,1.000,1,6,7,7,0,0,6,2,31,22.7,+17
11,11,2021-11-08,33-040,BRK,@,CHI,L (-23),1,35:04,13,24,.542,3,8,.375,9,9,1.000,1,10,11,4,0,0,2,1,38,30.5,-22
12,12,2021-11-10,33-042,BRK,@,ORL,W (+33),1,29:11,11,12,.917,2,2,1.000,6,7,.857,0,5,5,2,0,0,6,1,30,22.1,+9
13,13,2021-11-12,33-044,BRK,@,NOP,W (+8),1,37:34,11,17,.647,3,3,1.000,3,4,.750,0,7,7,8,0,0,2,0,28,25.8,+17
14,14,2021-11-14,33-046,BRK,@,OKC,W (+24),1,34:10,9,17,.529,2,6,.333,13,14,.929,0,8,8,4,1,0,1,1,33,29.1,+30
15,15,2021-11-16,33-048,BRK,,GSW,L (-18),1,32:14,6,19,.316,2,6,.333,5,6,.833,1,4,5,3,0,0,2,1,19,9.3,-24
16,16,2021-11-17,33-049,BRK,,CLE,W (+10),1,37:04,9,16,.563,2,3,.667,3,3,1.000,0,4,4,3,0,0,1,0,23,17.7,-5
17,,2021-11-19,33-051,BRK,,ORL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,17,2021-11-22,33-054,BRK,@,CLE,W (+5),1,39:02,8,19,.421,1,4,.250,10,10,1.000,0,6,6,9,0,3,2,3,27,23.9,+5
19,18,2021-11-24,33-056,BRK,@,BOS,W (+19),1,37:10,8,16,.500,0,4,.000,5,6,.833,2,2,4,8,2,0,3,3,21,18.0,+20
20,19,2021-11-27,33-059,BRK,,PHO,L (-6),1,44:50,13,28,.464,4,7,.571,9,11,.818,0,9,9,7,4,1,6,0,39,30.1,-1
21,20,2021-11-30,33-062,BRK,,NYK,W (+2),1,40:30,9,23,.391,0,5,.000,9,9,1.000,0,5,5,9,0,1,1,3,27,20.8,+10
22,21,2021-12-03,33-065,BRK,,MIN,W (+5),1,37:47,9,18,.500,0,1,.000,12,13,.923,1,9,10,6,0,0,5,4,30,21.6,0
23,22,2021-12-04,33-066,BRK,,CHI,L (-4),1,38:08,12,26,.462,2,6,.333,2,2,1.000,0,10,10,4,0,2,1,5,28,18.8,+6
24,23,2021-12-07,33-069,BRK,@,DAL,W (+3),1,40:30,10,22,.455,1,4,.250,3,3,1.000,2,5,7,3,1,1,3,1,24,15.9,+4
25,,2021-12-08,33-070,BRK,@,HOU,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,24,2021-12-10,33-072,BRK,@,ATL,W (+8),1,38:21,12,22,.545,1,4,.250,6,7,.857,0,5,5,6,1,3,5,4,31,22.2,+6
27,25,2021-12-12,33-074,BRK,@,DET,W (+12),1,41:28,16,31,.516,5,10,.500,14,15,.933,0,7,7,9,1,2,5,5,51,39.1,+25
28,26,2021-12-14,33-076,BRK,,TOR,W (+2),1,48:11,12,29,.414,2,8,.250,8,8,1.000,1,12,13,11,0,1,4,1,34,26.8,-5
29,27,2021-12-16,33-078,BRK,,PHI,W (+9),1,39:02,13,24,.542,2,3,.667,6,6,1.000,1,10,11,8,0,1,4,1,34,28.0,+12
30,,2021-12-18,33-080,BRK,,ORL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2021-12-25,33-087,BRK,@,LAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2021-12-27,33-089,BRK,@,LAC,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,28,2021-12-30,33-092,BRK,,PHI,L (-8),1,37:57,13,24,.542,3,8,.375,4,6,.667,0,6,6,4,0,1,4,2,33,21.1,-9
34,29,2022-01-01,33-094,BRK,,LAC,L (-4),1,38:56,11,24,.458,2,6,.333,4,5,.800,0,9,9,3,0,1,3,1,28,17.3,-7
35,30,2022-01-03,33-096,BRK,,MEM,L (-14),1,31:22,8,24,.333,2,8,.250,8,9,.889,0,3,3,6,3,3,2,1,26,19.8,-23
