Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-19,30-068,MIL,,BRK,W (+23),1,30:57,8,17,.471,1,4,.250,3,4,.750,0,9,9,3,1,0,1,3,20,14.5,+20
2,2,2021-10-21,30-070,MIL,@,MIA,L (-42),1,23:28,4,14,.286,1,6,.167,1,1,1.000,0,2,2,4,2,0,4,2,10,2.4,-26
3,3,2021-10-23,30-072,MIL,@,SAS,W (+10),1,35:00,9,17,.529,2,7,.286,8,9,.889,0,2,2,3,2,0,6,0,28,18.0,-6
4,4,2021-10-25,30-074,MIL,@,IND,W (+10),1,32:01,9,17,.529,2,3,.667,7,8,.875,1,4,5,7,1,1,5,0,27,21.8,+8
5,5,2021-10-27,30-076,MIL,,MIN,L (-5),1,34:11,6,16,.375,1,8,.125,3,4,.750,2,3,5,5,3,0,1,4,16,13.0,-4
6,6,2021-10-30,30-079,MIL,,SAS,L (-9),1,33:09,8,21,.381,2,7,.286,1,1,1.000,0,5,5,5,3,0,4,4,19,9.9,-9
7,,2021-10-31,30-080,MIL,,UTA,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2021-11-02,30-082,MIL,@,DET,W (+28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2021-11-05,30-085,MIL,,NYK,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2021-11-07,30-087,MIL,@,WAS,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2021-11-09,30-089,MIL,@,PHI,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2021-11-10,30-090,MIL,@,NYK,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2021-11-12,30-092,MIL,@,BOS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2021-11-14,30-094,MIL,@,ATL,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,7,2021-11-17,30-097,MIL,,LAL,W (+7),1,30:05,4,12,.333,2,6,.333,6,7,.857,0,5,5,6,0,1,0,2,16,14.4,+13
16,8,2021-11-19,30-099,MIL,,OKC,W (+7),1,31:59,5,13,.385,3,8,.375,3,3,1.000,0,8,8,4,1,0,4,1,16,10.7,+12
17,9,2021-11-20,30-100,MIL,,ORL,W (+9),1,30:12,4,9,.444,3,5,.600,2,4,.500,0,5,5,8,0,0,1,2,13,12.8,+5
18,10,2021-11-22,30-102,MIL,,ORL,W (+31),1,20:11,4,6,.667,1,3,.333,3,3,1.000,0,2,2,2,2,0,1,0,12,12.4,+20
19,11,2021-11-24,30-104,MIL,,DET,W (+21),1,28:07,5,17,.294,1,4,.250,0,0,,1,8,9,4,2,0,3,0,11,6.0,+1
20,12,2021-11-26,30-106,MIL,@,DEN,W (+11),1,30:37,5,11,.455,4,9,.444,3,3,1.000,0,5,5,7,1,0,6,2,17,11.9,+6
21,13,2021-11-28,30-108,MIL,@,IND,W (+18),1,29:36,6,13,.462,1,5,.200,1,1,1.000,0,5,5,5,2,0,3,3,14,10.1,+14
22,14,2021-12-01,30-111,MIL,,CHO,W (+2),1,32:53,6,18,.333,4,8,.500,5,5,1.000,1,5,6,5,0,0,1,3,21,14.3,+4
23,15,2021-12-02,30-112,MIL,@,TOR,L (-4),1,35:08,8,20,.400,2,5,.400,4,5,.800,1,7,8,2,0,1,3,1,22,12.3,+2
24,16,2021-12-04,30-114,MIL,,MIA,W (+22),1,29:40,9,18,.500,3,8,.375,1,1,1.000,1,5,6,9,0,0,4,2,22,16.7,+14
25,17,2021-12-06,30-116,MIL,,CLE,W (+8),1,35:55,7,16,.438,0,4,.000,7,8,.875,0,3,3,8,0,0,3,3,21,14.5,+12
