Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,25-339,MIN,,HOU,W (+18),1,29:23,11,15,.733,3,4,.750,5,5,1.000,5,5,10,2,2,2,3,3,30,29.5,+34
2,2,2021-10-23,25-342,MIN,,NOP,W (+7),1,28:37,10,20,.500,3,6,.500,2,2,1.000,1,3,4,2,0,3,5,6,25,12.7,+5
3,3,2021-10-25,25-344,MIN,,NOP,L (-9),1,39:36,10,24,.417,4,10,.400,8,8,1.000,6,8,14,7,2,2,3,3,32,29.9,+8
4,4,2021-10-27,25-346,MIN,@,MIL,W (+5),1,38:24,9,13,.692,3,5,.600,4,5,.800,1,2,3,5,1,3,7,1,25,19.6,+7
5,5,2021-10-30,25-349,MIN,,DEN,L (-2),1,33:32,4,11,.364,2,5,.400,4,4,1.000,3,5,8,3,1,0,5,4,14,8.0,-23
6,6,2021-11-01,25-351,MIN,,ORL,L (-18),1,37:24,8,17,.471,4,8,.500,3,7,.429,6,10,16,6,2,0,2,3,23,22.9,-24
7,7,2021-11-03,25-353,MIN,,LAC,L (-11),1,36:14,6,16,.375,3,8,.375,3,3,1.000,3,8,11,3,4,0,3,3,18,15.6,-12
8,8,2021-11-05,25-355,MIN,,LAC,L (-20),1,31:49,7,11,.636,3,5,.600,3,3,1.000,1,7,8,0,1,0,6,5,20,10.9,-28
9,9,2021-11-08,25-358,MIN,@,MEM,L (-7),1,43:21,9,20,.450,3,9,.333,4,5,.800,7,5,12,3,1,2,5,3,25,18.9,-3
10,10,2021-11-10,25-360,MIN,@,GSW,L (-13),1,38:10,6,19,.316,5,10,.500,0,0,,4,7,11,4,2,0,0,4,17,14.2,+2
11,11,2021-11-12,25-362,MIN,@,LAL,W (+24),1,30:22,11,17,.647,4,8,.500,3,3,1.000,2,5,7,2,2,1,0,3,29,27.3,+19
12,12,2021-11-13,25-363,MIN,@,LAC,L (-27),1,31:28,3,11,.273,0,5,.000,2,3,.667,1,7,8,4,2,1,0,1,8,9.0,-11
