Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-19,36-293,LAL,,GSW,L (-7),1,36:44,13,23,.565,5,11,.455,3,6,.500,1,10,11,5,1,1,4,5,34,24.8,-2
2,2,2021-10-22,36-296,LAL,,PHO,L (-10),1,36:32,8,18,.444,5,9,.556,4,4,1.000,0,2,2,5,2,0,5,4,25,15.1,-6
3,3,2021-10-24,36-298,LAL,,MEM,W (+3),1,40:18,7,19,.368,4,9,.444,1,2,.500,0,6,6,6,2,2,3,1,19,14.1,-1
4,,2021-10-26,36-300,LAL,@,SAS,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
5,,2021-10-27,36-301,LAL,@,OKC,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,4,2021-10-29,36-303,LAL,,CLE,W (+12),1,37:57,10,22,.455,1,10,.100,5,5,1.000,1,2,3,8,3,1,7,1,26,17.8,+9
7,5,2021-10-31,36-305,LAL,,HOU,W (+10),1,34:32,6,19,.316,0,6,.000,3,4,.750,1,6,7,8,4,1,2,0,15,14.5,+7
8,6,2021-11-02,36-307,LAL,,HOU,W (+2),1,36:16,13,21,.619,2,4,.500,2,2,1.000,0,4,4,10,2,0,4,3,30,25.5,+8
9,,2021-11-04,36-309,LAL,,OKC,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2021-11-06,36-311,LAL,@,POR,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2021-11-08,36-313,LAL,,CHO,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2021-11-10,36-315,LAL,,MIA,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2021-11-12,36-317,LAL,,MIN,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2021-11-14,36-319,LAL,,SAS,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2021-11-15,36-320,LAL,,CHI,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2021-11-17,36-322,LAL,@,MIL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,7,2021-11-19,36-324,LAL,@,BOS,L (-22),1,32:04,10,16,.625,3,7,.429,0,1,.000,1,5,6,2,2,0,3,3,23,16.8,-4
18,8,2021-11-21,36-326,LAL,@,DET,W (+5),1,21:26,4,7,.571,1,3,.333,1,1,1.000,0,1,1,5,0,0,2,1,10,8.1,-15
19,,2021-11-23,36-328,LAL,@,NYK,L (-6),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
20,9,2021-11-24,36-329,LAL,@,IND,W (+8),1,43:28,13,29,.448,5,12,.417,8,9,.889,0,5,5,6,1,2,2,2,39,28.8,-3
21,10,2021-11-26,36-331,LAL,,SAC,L (-4),1,49:45,10,25,.400,2,13,.154,8,11,.727,1,6,7,11,1,0,7,4,30,17.9,-7
22,11,2021-11-28,36-333,LAL,,DET,W (+4),1,37:24,12,20,.600,4,9,.444,5,8,.625,0,5,5,9,2,1,2,1,33,30.7,+14
23,,2021-11-30,36-335,LAL,@,SAC,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,12,2021-12-03,36-338,LAL,,LAC,L (-4),1,36:15,9,23,.391,2,8,.250,3,5,.600,3,8,11,6,2,0,3,2,23,16.6,-5
25,13,2021-12-07,36-342,LAL,,BOS,W (+15),1,36:16,13,19,.684,2,5,.400,2,2,1.000,2,2,4,5,0,0,3,2,30,23.6,+18
26,14,2021-12-09,36-344,LAL,@,MEM,L (-13),1,37:24,7,15,.467,1,6,.167,5,5,1.000,0,10,10,11,4,2,5,1,20,23.0,+2
27,15,2021-12-10,36-345,LAL,@,OKC,W (+21),1,34:41,13,20,.650,4,6,.667,3,4,.750,0,5,5,6,3,2,2,2,33,31.1,+19
28,16,2021-12-12,36-347,LAL,,ORL,W (+12),1,37:11,12,20,.600,3,7,.429,3,4,.750,1,10,11,10,0,3,6,2,30,26.4,+14
29,17,2021-12-15,36-350,LAL,@,DAL,W (+3),1,42:58,9,19,.474,4,9,.444,2,3,.667,0,3,3,5,1,0,2,1,24,16.9,-6
30,18,2021-12-17,36-352,LAL,@,MIN,L (-18),1,35:30,5,13,.385,2,6,.333,6,8,.750,1,9,10,5,1,2,4,5,18,13.4,-11
31,19,2021-12-19,36-354,LAL,@,CHI,L (-5),1,39:24,11,21,.524,1,7,.143,8,11,.727,1,13,14,6,1,2,4,5,31,24.7,-1
32,20,2021-12-21,36-356,LAL,,PHO,L (-18),1,34:00,13,19,.684,2,5,.400,6,6,1.000,0,7,7,2,2,0,2,1,34,29.0,0
33,21,2021-12-23,36-358,LAL,,SAS,L (-28),1,34:40,15,26,.577,2,7,.286,4,6,.667,2,7,9,6,1,2,3,2,36,29.3,-23
34,22,2021-12-25,36-360,LAL,,BRK,L (-7),1,39:53,14,25,.560,3,9,.333,8,9,.889,1,8,9,7,3,1,3,2,39,34.6,+9
35,23,2021-12-28,36-363,LAL,@,HOU,W (+9),1,39:27,11,19,.579,3,5,.600,7,9,.778,4,6,10,11,1,2,3,3,32,32.8,+6
36,24,2021-12-29,36-364,LAL,@,MEM,L (-5),1,37:57,13,25,.520,8,14,.571,3,3,1.000,2,11,13,7,2,2,5,1,37,32.3,0
37,25,2021-12-31,37-001,LAL,,POR,W (+33),1,29:18,16,26,.615,5,10,.500,6,9,.667,2,12,14,4,2,2,0,1,43,40.8,+18
38,26,2022-01-02,37-003,LAL,,MIN,W (+5),1,39:13,7,15,.467,3,9,.333,9,12,.750,0,7,7,5,3,1,1,2,26,24.6,+9
39,27,2022-01-04,37-005,LAL,,SAC,W (+8),1,36:29,12,26,.462,3,10,.300,4,5,.800,2,3,5,5,0,1,2,3,31,20.5,+3
40,28,2022-01-07,37-008,LAL,,ATL,W (+16),1,36:30,13,24,.542,1,6,.167,5,5,1.000,1,7,8,9,4,3,4,4,32,30.0,+4
