Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-21,31-172,LAC,@,GSW,L (-2),1,36:33,12,23,.522,5,11,.455,0,0,,1,10,11,6,2,0,3,3,29,23.4,+3
2,2,2021-10-23,31-174,LAC,,MEM,L (-6),1,34:48,15,25,.600,5,12,.417,6,6,1.000,0,10,10,4,2,0,3,2,41,33.5,-14
3,3,2021-10-25,31-176,LAC,,POR,W (+30),1,26:35,6,16,.375,2,8,.250,0,0,,0,0,0,5,8,1,3,3,14,13.2,+21
4,4,2021-10-27,31-178,LAC,,CLE,L (-13),1,34:09,6,20,.300,0,8,.000,0,0,,0,10,10,1,4,0,4,4,12,2.5,-3
5,5,2021-10-29,31-180,LAC,@,POR,L (-19),1,33:37,15,24,.625,6,9,.667,6,9,.667,1,7,8,2,1,1,4,2,42,31.1,-10
6,6,2021-11-01,31-183,LAC,,OKC,W (+5),1,40:23,11,24,.458,5,8,.625,5,6,.833,0,9,9,7,3,1,4,3,32,25.3,+1
7,7,2021-11-03,31-185,LAC,@,MIN,W (+11),1,35:48,11,18,.611,4,8,.500,6,6,1.000,0,6,6,8,1,1,8,3,32,23.7,+8
8,8,2021-11-05,31-187,LAC,@,MIN,W (+20),1,37:50,4,20,.200,0,7,.000,13,14,.929,0,10,10,6,3,0,6,4,21,10.8,+18
9,9,2021-11-07,31-189,LAC,,CHO,W (+14),1,37:40,9,22,.409,2,10,.200,0,0,,1,8,9,8,0,1,8,1,20,9.2,+13
10,10,2021-11-09,31-191,LAC,,POR,W (+8),1,32:49,10,24,.417,3,7,.429,1,2,.500,1,8,9,7,1,0,3,5,24,14.8,+9
11,11,2021-11-11,31-193,LAC,,MIA,W (+3),1,38:13,11,25,.440,3,9,.333,2,2,1.000,2,2,4,5,3,0,3,1,27,19.0,-1
12,12,2021-11-13,31-195,LAC,,MIN,W (+27),1,26:52,10,17,.588,3,5,.600,0,0,,1,8,9,4,0,0,4,2,23,16.2,+17
13,13,2021-11-14,31-196,LAC,,CHI,L (-10),1,41:19,7,25,.280,2,10,.200,11,11,1.000,1,10,11,4,1,1,3,2,27,16.7,-3
14,14,2021-11-16,31-198,LAC,,SAS,W (+14),1,33:54,10,24,.417,2,9,.222,12,13,.923,0,9,9,4,2,0,6,1,34,21.9,-3
15,15,2021-11-18,31-200,LAC,@,MEM,L (-12),1,31:13,9,18,.500,5,9,.556,0,0,,1,4,5,6,0,1,1,1,23,19.4,-18
16,16,2021-11-19,31-201,LAC,@,NOP,L (-13),1,34:38,8,26,.308,3,14,.214,0,0,,0,7,7,6,1,0,1,2,19,9.5,-17
17,17,2021-11-21,31-203,LAC,,DAL,W (+6),1,37:35,12,25,.480,3,8,.375,2,2,1.000,0,4,4,6,1,0,6,4,29,15.1,+11
18,18,2021-11-23,31-205,LAC,,DAL,L (-8),1,48:25,7,23,.304,1,6,.167,11,12,.917,0,9,9,6,0,1,3,4,26,15.3,-2
19,19,2021-11-26,31-208,LAC,,DET,W (+11),1,32:24,5,19,.263,1,9,.111,1,2,.500,0,5,5,4,3,1,2,2,12,5.5,+10
20,20,2021-11-28,31-210,LAC,,GSW,L (-15),1,36:31,11,24,.458,3,7,.429,5,6,.833,0,5,5,5,0,0,8,3,30,13.0,-9
21,21,2021-11-29,31-211,LAC,,NOP,L (-19),1,33:54,10,20,.500,3,10,.300,4,4,1.000,0,3,3,3,1,0,7,3,27,12.8,-21
22,,2021-12-01,31-213,LAC,,SAC,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,22,2021-12-03,31-215,LAC,@,LAL,W (+4),1,39:28,7,20,.350,0,7,.000,5,6,.833,1,7,8,9,2,0,3,1,19,15.1,+10
24,23,2021-12-04,31-216,LAC,@,SAC,L (-5),1,37:48,5,21,.238,3,7,.429,2,2,1.000,0,6,6,10,2,0,5,4,15,6.5,-2
25,24,2021-12-06,31-218,LAC,@,POR,W (+12),1,38:35,9,18,.500,0,3,.000,3,5,.600,0,8,8,4,4,0,4,2,21,15.6,+11
26,,2021-12-08,31-220,LAC,,BOS,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,,2021-12-11,31-223,LAC,,ORL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2021-12-13,31-225,LAC,,PHO,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2021-12-15,31-227,LAC,@,UTA,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2021-12-18,31-230,LAC,@,OKC,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,25,2021-12-20,31-232,LAC,,SAS,L (-24),1,30:30,8,17,.471,3,9,.333,6,7,.857,1,5,6,6,3,0,5,1,25,19.9,-14
32,26,2021-12-22,31-234,LAC,@,SAC,W (+16),1,32:15,6,18,.333,3,7,.429,2,2,1.000,0,4,4,6,5,1,2,2,17,15.1,+8
33,,2021-12-26,31-238,LAC,,DEN,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2021-12-27,31-239,LAC,,BRK,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2021-12-29,31-241,LAC,@,BOS,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2021-12-31,31-243,LAC,@,TOR,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2022-01-01,31-244,LAC,@,BRK,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2022-01-03,31-246,LAC,,MIN,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2022-01-06,31-249,LAC,@,PHO,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
