Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-19,33-219,GSW,@,LAL,W (+7),1,36:11,5,21,.238,2,8,.250,9,9,1.000,1,9,10,10,3,0,4,1,21,17.3,+4
2,2,2021-10-21,33-221,GSW,,LAC,W (+2),1,37:33,16,25,.640,8,13,.615,5,5,1.000,0,10,10,1,1,1,6,2,45,32.5,-2
3,3,2021-10-24,33-224,GSW,@,SAC,W (+12),1,35:16,9,23,.391,4,15,.267,5,6,.833,1,6,7,10,3,0,3,1,27,23.2,+14
4,4,2021-10-26,33-226,GSW,@,OKC,W (+8),1,32:18,6,14,.429,4,9,.444,7,7,1.000,1,5,6,4,0,1,4,1,23,16.9,+15
5,5,2021-10-28,33-228,GSW,,MEM,L (-3),1,40:40,11,29,.379,7,20,.350,7,7,1.000,1,6,7,8,1,0,5,2,36,23.4,+12
6,6,2021-10-30,33-230,GSW,,OKC,W (+21),1,27:11,7,16,.438,6,15,.400,0,0,,0,5,5,6,1,1,2,1,20,16.6,+17
7,7,2021-11-03,33-234,GSW,,CHO,W (+22),1,35:25,6,15,.400,3,11,.273,0,0,,1,7,8,9,1,1,4,3,15,12.5,-1
8,8,2021-11-05,33-236,GSW,,NOP,W (+41),1,29:45,5,16,.313,5,13,.385,4,4,1.000,0,3,3,6,0,2,1,1,19,14.9,+17
9,9,2021-11-07,33-238,GSW,,HOU,W (+13),1,26:49,8,16,.500,4,11,.364,0,0,,2,1,3,2,3,0,0,3,20,16.9,+16
10,10,2021-11-08,33-239,GSW,,ATL,W (+14),1,35:02,14,28,.500,9,19,.474,13,13,1.000,2,5,7,10,4,1,2,0,50,48.6,+31
11,11,2021-11-10,33-241,GSW,,MIN,W (+13),1,34:06,8,16,.500,3,9,.333,6,8,.750,0,5,5,6,1,0,3,2,25,19.1,+11
