Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-21,23-032,ATL,,DAL,W (+26),1,32:41,6,16,.375,2,5,.400,5,5,1.000,0,2,2,14,0,0,5,0,19,15.6,+21
2,2,2021-10-23,23-034,ATL,@,CLE,L (-6),1,35:27,8,22,.364,1,6,.167,7,7,1.000,0,1,1,7,3,0,2,1,24,17.6,-14
3,3,2021-10-25,23-036,ATL,,DET,W (+18),1,32:04,13,21,.619,2,5,.400,4,4,1.000,0,4,4,9,1,0,2,2,32,28.2,+17
4,4,2021-10-27,23-038,ATL,@,NOP,W (+3),1,36:18,13,27,.481,2,6,.333,3,3,1.000,1,4,5,7,0,0,3,0,31,21.1,-8
5,5,2021-10-28,23-039,ATL,@,WAS,L (-11),1,34:46,6,17,.353,1,5,.200,2,3,.667,0,3,3,13,2,1,3,0,15,14.8,-8
6,6,2021-10-30,23-041,ATL,@,PHI,L (-28),1,31:43,5,16,.313,1,4,.250,2,4,.500,0,2,2,10,0,0,3,2,13,6.8,-23
7,7,2021-11-01,23-043,ATL,,WAS,W (+7),1,36:03,7,16,.438,1,6,.167,11,11,1.000,0,4,4,6,1,0,6,2,26,17.2,+19
8,8,2021-11-03,23-045,ATL,@,BRK,L (-9),1,36:46,6,22,.273,2,6,.333,7,8,.875,3,6,9,10,0,0,2,1,21,16.1,-2
9,9,2021-11-04,23-046,ATL,,UTA,L (-18),1,34:11,8,20,.400,0,4,.000,5,5,1.000,2,2,4,7,1,1,2,2,21,16.0,-7
10,10,2021-11-06,23-048,ATL,@,PHO,L (-4),1,39:14,10,23,.435,4,9,.444,7,8,.875,0,2,2,13,0,0,6,2,31,21.4,+1
11,11,2021-11-08,23-050,ATL,@,GSW,L (-14),1,32:06,11,20,.550,4,8,.500,2,3,.667,0,3,3,9,1,0,4,2,28,21.4,-9
12,12,2021-11-09,23-051,ATL,@,UTA,L (-12),1,35:13,10,21,.476,5,11,.455,2,2,1.000,0,0,0,6,1,0,6,2,27,14.7,-15
13,13,2021-11-12,23-054,ATL,@,DEN,L (-9),1,32:26,9,16,.563,3,5,.600,9,10,.900,1,4,5,9,1,0,5,4,30,24.6,-9
