Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/20/21,26-243,DEN,@,PHO,W (+12),1,34:43:00,13,22,0.591,1,6,0.167,0,0,,2,11,13,2,2,0,3,3,27,20.7,28
2,2,10/22/21,26-245,DEN,,SAS,W (+6),1,33:37:00,14,19,0.737,2,2,1,2,3,0.667,5,11,16,7,3,1,6,4,32,31.7,14
3,3,10/25/21,26-248,DEN,,CLE,L (-12),1,34:57:00,9,15,0.6,1,4,0.25,5,6,0.833,3,16,19,3,3,0,6,3,24,21.5,-12
4,4,10/26/21,26-249,DEN,@,UTA,L (-12),1,15:00,8,9,0.889,3,3,1,5,7,0.714,1,5,6,6,0,0,1,1,24,25.1,7
5,5,10/29/21,26-252,DEN,,DAL,W (+31),1,25:15:00,5,9,0.556,1,3,0.333,0,0,,2,14,16,8,1,0,1,4,11,16.3,26
6,6,10/30/21,26-253,DEN,@,MIN,W (+2),1,36:40:00,10,23,0.435,3,8,0.375,3,4,0.75,5,14,19,7,1,2,7,2,26,20.7,17
7,7,11/1/21,26-255,DEN,@,MEM,L (-9),1,33:03:00,9,15,0.6,2,6,0.333,3,4,0.75,1,6,7,7,0,4,3,2,23,22.1,0
8,8,11/3/21,26-257,DEN,@,MEM,L (-2),1,35:01:00,11,20,0.55,2,5,0.4,10,10,1,2,9,11,5,2,0,2,3,34,30.8,-3
9,9,11/6/21,26-260,DEN,,HOU,W (+1),1,36:23:00,9,15,0.6,1,3,0.333,9,11,0.818,2,12,14,2,2,1,5,5,28,22.4,7
10,10,11/8/21,26-262,DEN,,MIA,W (+17),1,33:24:00,10,14,0.714,0,0,,5,8,0.625,4,11,15,10,2,2,2,3,25,31.3,14
